points,threads,pi,error,time
10,1,3.200000000000,0.058407346410,0.000118
10,2,2.800000000000,0.341592653590,0.000164
10,4,2.800000000000,0.341592653590,0.000257
10,8,3.600000000000,0.458407346410,0.000542
10,10,2.800000000000,0.341592653590,0.000737
100,1,2.920000000000,0.221592653590,0.000125
100,2,3.240000000000,0.098407346410,0.000206
100,4,3.080000000000,0.061592653590,0.000139
100,8,3.200000000000,0.058407346410,0.000290
100,16,3.040000000000,0.101592653590,0.000531
10000,1,3.148800000000,0.007207346410,0.000244
10000,2,3.158000000000,0.016407346410,0.000696
10000,4,3.149600000000,0.008007346410,0.000442
10000,8,3.119600000000,0.021992653590,0.000361
10000,16,3.132800000000,0.008792653590,0.000728
1000000,1,3.141924000000,0.000331346410,0.015143
1000000,2,3.139232000000,0.002360653590,0.020804
1000000,4,3.140596000000,0.000996653590,0.015143
1000000,8,3.140792000000,0.000800653590,0.015300
1000000,16,3.144828000000,0.003235346410,0.009317
10000000,1,3.142187600000,0.000594946410,0.143658
10000000,2,3.141959600000,0.000366946410,0.207037
10000000,4,3.142390800000,0.000798146410,0.120474
10000000,8,3.142406000000,0.000813346410,0.112813
10000000,16,3.142350800000,0.000758146410,0.094901
100000000,1,3.141653720000,0.000061066410,1.448324
100000000,2,3.141552400000,0.000040253590,1.328026
100000000,4,3.141909480000,0.000316826410,1.512164
100000000,8,3.141845840000,0.000253186410,1.034753
100000000,16,3.141735040000,0.000142386410,0.974059
1000000000,1,3.141592648000,0.000000005590,14.756288
1000000000,2,3.141608352000,0.000015698410,20.936869
1000000000,4,3.141579104000,0.000013549590,15.379474
1000000000,8,3.141574484000,0.000018169590,10.905768
1000000000,16,3.141583212000,0.000009441590,9.976818
